User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
Benje,Left,Search,4,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Benje,Left,Search,5,LIVE: Latest News Headlines and Events | ABC News Live ,abC News,,left-center,high,high
Benje,Left,R1,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Benje,Left,R1,2,how joe biden reached victory in the 2020 presidential election,cbs news,,left-center,high,high
Benje,Left,R1,3,"full interview: edward snowden on trump, privacy, and ",msnbc,,left ,mixed,medium
Benje,Left,R1,4,steve bridges - as george w. bush with george w. bush,K&M productions - speakers & shows,no,,,
Benje,Left,R1,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Benje,Left,R1,6,i told you so: trump's former attorney says he warned Giuliani,cnn,,left ,mixed,medium
Benje,Left,R2,1,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R2,2,"final 2020 presidential debate between donald trump, joe biden",Nbc news ,,left-center,high,high
Benje,Left,R2,3,the silver bridge diaster,openlearn from the open university,,,,
Benje,Left,R2,4,new details emerge about investigation into giuliani,cnn,,left ,mixed,medium
Benje,Left,R2,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Benje,Left,R2,6,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,Nbc news ,,left-center,high,high
Benje,Left,R3,1,watch: the first 2020 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R3,2,"final 2020 presidential debate between donald trump, joe biden",Nbc news ,,left-center,high,high
Benje,Left,R3,3,bush vs. kerry: the second 2004 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R3,4,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R3,5,trump v biden: the final debate,sky News,,least bias,high,high 
Benje,Left,R3,6,watch in full: trump versus biden in the first us presidential election debate,sky News,,least bias,high,high 
Benje,Left,R4,1,watch in full: trump versus biden in the first us presidential election debate,sky News,,least bias,high,high 
Benje,Left,R4,2,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R4,3,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R4,4,replay: the first 2020 presidential debate on CNN,cnn,,left ,mixed,medium
Benje,Left,R4,5,bush vs. kerry: the second 2004 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R4,6,mccain vs obama: the first 2008 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R5,1,trump v biden: the final debate,sky News,,least bias,high,high credibility 
Benje,Left,R5,2,in fuLL: Kamala Harris versus Mike Pence in the only Vice Presidential Debate,sky News,,least bias,high,high credibility 
Benje,Left,R5,3,obama vs. romney: the second 2012 presidential election,pbs newshour,,left-center,high,high
Benje,Left,R5,4,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Benje,Left,R5,5,watch sky news live,sky news,,least bias,high,high credibility 
Benje,Left,R5,6,watch live: track the impact of global warming on the world,sky news,,least bias,high,high credibility 
Benje,Left,R6,1,watch in full: trump versus biden in the first us presidential election debate,sky news,,least bias,high,high credibility 
Benje,Left,R6,2,watch president obama speak and sing at white house tribute to Ray Charles,pbs newshour,,left-center,high,high
Benje,Left,R6,3,boeing 737-800 - start and takeoff procedure - santiago de Chile -,mr fabio,0,,,
Benje,Left,R6,4,bush vs. kerry: the second 2004 presidential debate,pbs newshour,,left-center,high,high
Benje,Left,R6,5,watch sky news live,sky news,,least bias,high,high credibility 
Benje,Left,R6,6,watch live: track the impact of global warming on the world,sky news,,least bias,high,high credibility 
Benje,Left,R7,1,"rudy indictment?: after feds raid giuliani, legal vet says",msnbc,,left ,mixed,medium
Benje,Left,R7,2,your mind will collapse if you try to imagine this | Universe SIZE COMPARISON,estudio arkano,0,,,
Benje,Left,R7,3,Pilotseye.tv - Lufthansa Airbus A380 - Departure from San Francisco [English Subtitles],Aviation World,0,,,
Benje,Left,R7,4,rodney dangerfield almost makes carson fall out of his Chair Laughing,johnny carson,,,,
Benje,Left,R7,5,watch sky news live,sky news,,least bias,high,high credibility 
Benje,Left,R7,6,watch live: track the impact of global warming on the world,sky news,,least bias,high,high credibility 
Candice,Left,Search,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Candice,Left,Search,2,Election Results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
Candice,Left,Search,3,He predicted a trump win in 2016. what's his forecast for 2020? | NYT opinion,the new york times,,left-center,high,high
Candice,Left,Search,4,"John King: If Trump loses here, he's done",cnn,,left ,mixed,medium credibility
Candice,Left,Search,5,2020 presidential election results are officially certified,inside edition,,left-center,high,
Candice,Left,R1,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Candice,Left,R1,2,watch: election results - pbs newshour special coverage,pbs newshour,,left-center,high,high
Candice,Left,R1,3,"live coverage: joe biden wins presidency, cbs news projects",cbs news,,left-center,high,high
Candice,Left,R1,4,nbc nightly news broadcast (full) ,nbc news ,,left-center,high,high
Candice,Left,R1,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Candice,Left,R1,6,kennedy vs nixon: the first 1960 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R2,1,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R2,2,Watch Live: President-Elect Joe Biden Addresses The Nation I ABC News,abC News,,left-center,high,high credibility
Candice,Left,R2,3,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Candice,Left,R2,4,trump v biden: the final debate,sky news,,least bias,high,high credibility 
Candice,Left,R2,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Candice,Left,R2,6,Hear what McCarthy said about Liz Cheney on hot mic,cnn,,left ,mixed,medium credibility
Candice,Left,R3,1,watch: the first 2020 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R3,2,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R3,3,"final 2020 presidential debate between donald trump, joe biden",nbc news ,,left-center,high,high
Candice,Left,R3,4,trump v biden: the final debate,sky news,,least bias,high,high credibility 
Candice,Left,R3,5,watch live: secret service director james Murray testifies on operational priorities,pbs newshour,,left-center,high,high
Candice,Left,R3,6,the leader of the free world is cognitively delinquent,sky news australia,,right-center,mixed,medium
Candice,Left,R4,1,replay: the first 2020 presidential debate on CNN,cnn,,left ,mixed,medium credibility
Candice,Left,R4,2,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R4,3,first debate cold open - snl,saturday night live,,,,
Candice,Left,R4,4,some of the best of walter | jeff dunham,jeff dunham,,,,
Candice,Left,R4,5,watch live: secret service director james Murray testifies on operational priorities,pbs newshour,,left-center,high,high
Candice,Left,R4,6,watch in full: trump versus biden in the first us presidential election debate,sky news,,least bias,high,high credibility 
Candice,Left,R5,1,"final 2020 presidential debate between donald trump, joe biden",nbc news ,,left-center,high,high
Candice,Left,R5,2,trump v biden: the final debate,sky news,,least bias,high,high credibility 
Candice,Left,R5,3,"watch the fulll, on-camera shouting match between trump, Pelosi and Schumer | The Washington Post ",washington post ,,left-center,mostly factual,high
Candice,Left,R5,4,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R5,5,replay: the 2020 vice presidential debate on CNN,cnn,,left ,mixed,medium credibility
Candice,Left,R5,6,trump and biden face off in chaotic first 2020 presidential debate | full debate,cbs news,,left-center,high,high
Candice,Left,R6,1,watch in full: trump versus biden in the first us presidential election debate,sky news,,least bias,high,high credibility 
Candice,Left,R6,2,watch: the first 2020 presidential debate,pbs newshour,,left-center,high,high
Candice,Left,R6,3,nbc news now,nbc news ,,left-center,high,high
Candice,Left,R6,4,trump's scared: michael cohen says rudy knows he's In Trouble' And Will Flip On,msnbc,,left ,mixed,medium
Candice,Left,R6,5,10 funniest auditions ever on britain's got talent,talent recap uk,0,,,
Candice,Left,R6,6,Beirut Blast: The explosion that stole a nation's hope | Four Corners,abc news in depth,,left-center,high,high credibility
Candice,Left,R7,1,watch live: secret service director james Murray testifies on operational priorities,pbs newshour,,left-center,high,high
